word,valence,arousal
confused,-4.000000,0.400000
confuses,-2.857200,-1.000000
confusing,-3.600000,0.363600
confusion,-4.000000,0.888800
congratulations,2.857200,0.500000
consternation,-3.000000,2.320000
contented,2.000000,-2.600000
contentment,2.200000,-3.000000
contrition,-2.480000,-2.280000
convivial,4.000000,3.000000
cool,0.000000,-2.680000
cool_off,0.000000,-2.680000
coolness,0.000000,-2.680000
cordiality,2.285600,-0.444400
cottage,1.440000,-1.600000
courage,0.666800,0.888800
courageousness,0.666800,0.888800
courtesy,2.285600,-0.444400
cozy,2.400000,-1.680000
crash,-2.680000,1.960000
crazy,-2.666800,0.666800
crestfallen,-2.800000,-2.800000
crimes,-2.480000,2.200000
criminal,-2.480000,2.200000
criticism,-2.680000,2.200000
criticisms,-2.680000,2.200000
crucify,-2.760000,1.480000
cruelty,-3.120000,1.320000
crying,-2.285600,-0.400000
cry,-2.285600,-0.800000
daddy,2.666800,0.444400
daemon,-2.222400,-0.400000
dainty,0.500000,-3.333200
dance,1.160000,1.200000
danced,1.160000,2.400000
dancer,0.640000,1.320000
dancers,1.600000,1.520000
dances,1.320000,1.760000
dancin',1.600000,2.760000
dancing,1.600000,2.760000
danger,-2.040000,2.320000
daughter,1.320000,-0.880000
daughters,2.400000,-0.920000
daunting,-1.800000,-2.000000
dazzle,2.280000,1.320000
dear,4.000000,2.560000
dearest,4.000000,2.560000
debauch,-2.040000,1.400000
deject,-1.333200,-1.600000
dejected,-1.333200,-1.600000
dejecting,-1.800000,-2.000000
dejection,-1.800000,-2.000000
delectation,3.520000,1.240000
delicacy,0.500000,-3.333200
delicate,0.500000,-3.333200
delight,3.520000,1.240000
delighted,3.520000,1.240000
demented,-3.000000,2.000000
demon,-2.880000,1.760000
demon,-2.222400,-0.400000
demoralization,-1.800000,-2.000000
depravity,-3.120000,1.320000
deprecation,-3.440000,-1.720000
depress,-1.800000,-2.000000
depressant,-2.400000,-2.400000
depressed,-1.800000,-0.680000
depressing,-1.800000,-2.000000
depression,-1.800000,-2.000000
desire,2.680000,2.360000
despair,-2.000000,-0.360000
desperation,-2.000000,-0.360000
despise,-2.960000,1.280000
despondency,-1.800000,-2.000000
despondent,-2.800000,-2.800000
despotism,-3.120000,1.320000
destroy,-2.360000,1.840000
destroyed,-2.222400,1.600000
collapsed,-1.714400,0.571600
collapsing,-1.714400,0.571600
collapse,-1.714400,0.571600
